company_name,industry,main_products
메리츠제2호스팩,금융 지원 서비스업,금융 지원 서비스업
세미티에스,특수 목적용 기계 제조업,"클린컨베이어시스템, 질소퍼지시스템"
피스피스스튜디오,"섬유, 의복, 신발 및 가죽제품 소매업","의류, 모자, 신발, 액세서리, 기타, 여자용 겉옷"
대신밸런스제20호스팩,금융 지원 서비스업,금융 지원 서비스업
마키나락스,소프트웨어 개발 및 공급업,Runway Platform (산업특화 인공지능 개발 및 운영 체계 구축 플랫폼)
케이피항공산업,"항공기,우주선 및 부품 제조업",항공기 및 우주 방산 구조물 제작
폴레드,가정용 기기 제조업,"유아용품(카시트 및 관련 악세서리, 유아가전 등)"
코스모로보틱스,의료용 기기 제조업,웨어러블 로봇
신한제18호스팩,금융 지원 서비스업,금융 지원 서비스업
채비,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전기차 충전 서비스, 전기차 충전기"
에스테크엠,특수 목적용 기계 제조업,이차전지 장비
키움히어로제2호스팩,금융 지원 서비스업,기업 인수 합병
보원케미칼,플라스틱제품 제조업,"차량 내장재용 표면소재, SPC바닥재 등"
교보20호스팩,기타 금융업,기업 인수 및 합병
인벤테라,자연과학 및 공학 연구개발업,철(Fe) 기반 질환 특이성 나노-MRI 조영제 신약
신한제17호스팩,금융 지원 서비스업,금융지원 서비스업
리센스메디컬,의료용 기기 제조업,"피부 냉각마취 의료기기, 경피약물전달 의료기기, 동물용 경피약물전달 의료기기, 안구 냉각마취 의료기기"
엔에이치스팩33호,금융 지원 서비스업,기업인수
메쥬,의료용 기기 제조업,웨어러블 패치형 환자 감시장치(HiCardi)
한패스,기타 금융업,"디지털 송금 서비스, 전자지갑 서비스, 선불카드 서비스"
아이엠바이오로직스,자연과학 및 공학 연구개발업,"IMB-101 (OX40L/TNF 타깃 자가면역질환 치료용 이중항체), IMB-102 (OX40L 타깃 자가면역질환 치료용 단일항체)"
카나프테라퓨틱스,자연과학 및 공학 연구개발업,항암제 및 안과 질환 치료제 개발
액스비스,기타 전기장비 제조업,지능형 고출력 레이저 솔루션 등
에스팀,기타 사업지원 서비스업,"콘텐츠, 매니지먼트"
케이뱅크,은행 및 저축기관,은행 및 저축기관
덕양에너젠,연료용 가스 제조 및 배관공급업,"수소가스, 고순도 수소가스"
삼성스팩13호,금융 지원 서비스업,기업인수합병
엔비알모션,기타 금속 가공제품 제조업,강구 및 테이퍼롤러
지에프아이,일반 목적용 기계 제조업,"2차전지소화안전제품, 일반소화안전제품"
삼미금속,기타 금속 가공제품 제조업,"자동차부품, 중장비부품, 선박부품, 방산부품 등"
세미파이브,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체 설계 서비스
리브스메드,의료용 기기 제조업,"다관절 다자유도 복강경 수술기구인 ArtiSential, ArtiSeal, ArtiStapler, LivsCam, Stark"
미래에셋비전스팩10호,금융 지원 서비스업,기업인수합병
미래에셋비전스팩11호,금융 지원 서비스업,기업인수합병
삼진식품,수산물 가공 및 저장 처리업,"반찬용 어묵, 국탕용 어묵 등 어묵관련 제품 판매"
엔더블유시,통신 및 방송 장비 제조업,"FTTH Drop, FTTH 커넥터류, 5G CPRI, MDU, 광접속함체"
하나36호스팩,금융 지원 서비스업,기업인수합병
IBKS제25호스팩,금융 지원 서비스업,기업인수 및 합병
알지노믹스,자연과학 및 공학 연구개발업,"인체질환치료제 및 진단제, 진단용 유전자재조합 의약품"
